line,target_id
Ara-1,ECB_00100
Ara-1,ECB_00211
Ara-1,ECB_00429
Ara-1,ECB_00506
Ara-1,ECB_00507
Ara-1,ECB_00508
Ara-1,ECB_00509
Ara-1,ECB_00510
Ara-1,ECB_00511
Ara-1,ECB_00512
Ara-1,ECB_00513
Ara-1,ECB_00532
Ara-1,ECB_01192
Ara-1,ECB_01193
Ara-1,ECB_01307
Ara-1,ECB_01512
Ara-1,ECB_01513
Ara-1,ECB_01514
Ara-1,ECB_01515
Ara-1,ECB_01516
Ara-1,ECB_01517
Ara-1,ECB_01518
Ara-1,ECB_01519
Ara-1,ECB_01520
Ara-1,ECB_01521
Ara-1,ECB_01522
Ara-1,ECB_01523
Ara-1,ECB_01524
Ara-1,ECB_01525
Ara-1,ECB_01645
Ara-1,ECB_01672
Ara-1,ECB_01731
Ara-1,ECB_01932
Ara-1,ECB_01933
Ara-1,ECB_01934
Ara-1,ECB_01935
Ara-1,ECB_01936
Ara-1,ECB_01937
Ara-1,ECB_01938
Ara-1,ECB_01939
Ara-1,ECB_01940
Ara-1,ECB_01941
Ara-1,ECB_01942
Ara-1,ECB_01943
Ara-1,ECB_01944
Ara-1,ECB_01945
Ara-1,ECB_01946
Ara-1,ECB_01947
Ara-1,ECB_01948
Ara-1,ECB_01949
Ara-1,ECB_01950
Ara-1,ECB_01951
Ara-1,ECB_01952
Ara-1,ECB_01953
Ara-1,ECB_01954
Ara-1,ECB_01992
Ara-1,ECB_02621
Ara-1,ECB_02690
Ara-1,ECB_02816
Ara-1,ECB_03077
Ara-1,ECB_03449
Ara-1,ECB_03634
Ara-1,ECB_03635
Ara-1,ECB_03636
Ara-1,ECB_03637
Ara-1,ECB_03638
Ara-1,ECB_03639
Ara-1,ECB_03640
Ara-1,ECB_03837
Ara-1,ECB_03878
Ara-1,ECB_04183
Ara-2,ECB_00018
Ara-2,ECB_00116
Ara-2,ECB_00126
Ara-2,ECB_00148
Ara-2,ECB_00212
Ara-2,ECB_00250
Ara-2,ECB_00300
Ara-2,ECB_00336
Ara-2,ECB_00343
Ara-2,ECB_00413
Ara-2,ECB_00448
Ara-2,ECB_00451
Ara-2,ECB_00547
Ara-2,ECB_00548
Ara-2,ECB_00549
