line,target_id,n
AraM1,alaT,1
AraM1,alaU,1
AraM1,alaV,1
AraM1,alaW,1
AraM1,alaX,1
AraM1,argQ,1
AraM1,argU,1
AraM1,argV,1
AraM1,argW,1
AraM1,argX,1
AraM1,argY,1
AraM1,argZ,1
AraM1,asnT,1
AraM1,asnU,1
AraM1,asnV,1
AraM1,asnW,1
AraM1,aspT,1
AraM1,aspU,1
AraM1,aspV,1
AraM1,cysT,1
AraM1,ECB_00001,1
AraM1,ECB_00002,1
AraM1,ECB_00003,1
AraM1,ECB_00004,1
AraM1,ECB_00005,1
AraM1,ECB_00006,1
AraM1,ECB_00007,1
AraM1,ECB_00008,1
AraM1,ECB_00009,1
AraM1,ECB_00010,1
AraM1,ECB_00011,1
AraM1,ECB_00012,1
AraM1,ECB_00013,1
AraM1,ECB_00014,1
AraM1,ECB_00015,1
AraM1,ECB_00016,3
AraM1,ECB_00017,1
AraM1,ECB_00018,1
AraM1,ECB_00019,1
AraM1,ECB_00020,1
AraM1,ECB_00021,1
AraM1,ECB_00022,1
AraM1,ECB_00023,1
AraM1,ECB_00024,1
AraM1,ECB_00025,1
AraM1,ECB_00026,1
AraM1,ECB_00027,1
AraM1,ECB_00028,1
AraM1,ECB_00029,1
AraM1,ECB_00030,1
AraM1,ECB_00031,1
AraM1,ECB_00032,1
AraM1,ECB_00033,1
AraM1,ECB_00034,1
AraM1,ECB_00035,1
AraM1,ECB_00036,1
AraM1,ECB_00037,1
AraM1,ECB_00038,1
AraM1,ECB_00039,1
AraM1,ECB_00040,1
AraM1,ECB_00041,1
AraM1,ECB_00043,1
AraM1,ECB_00044,1
AraM1,ECB_00045,1
AraM1,ECB_00046,1
AraM1,ECB_00047,1
AraM1,ECB_00048,1
AraM1,ECB_00049,1
AraM1,ECB_00050,1
AraM1,ECB_00051,1
AraM1,ECB_00052,1
AraM1,ECB_00053,1
AraM1,ECB_00054,1
AraM1,ECB_00055,1
AraM1,ECB_00056,1
AraM1,ECB_00057,1
AraM1,ECB_00058,1
AraM1,ECB_00059,1
