line,seqtype,id,description,setsize,enrichmentscore,nes,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Ara-1,ribo,ebr02040,Flagellar assembly,23,-0.9752978211688743,-2.2513422588382306,9.304598509337246e-18,1.1072472226111323e-15,9.304598509337247e-16,41,"tags=74%, list=1%, signal=74%",ECB_01849/ECB_01069/ECB_01850/ECB_01066/ECB_01068/ECB_01079/ECB_01851/ECB_01071/ECB_01070/ECB_01067/ECB_01073/ECB_01072/ECB_01074/ECB_01078/ECB_01076/ECB_01077/ECB_01075
Ara-1,ribo,ebr03010,Ribosome,55,0.7277091417360025,2.2861147932846175,1.3003704917618641e-8,7.737204425983092e-7,6.501852458809321e-7,841,"tags=73%, list=21%, signal=59%",ECB_03821/ECB_03494/ECB_03157/ECB_03493/ECB_03148/ECB_02115/ECB_04067/ECB_03586/ECB_01686/ECB_04070/ECB_03192/ECB_03156/ECB_03147/ECB_03171/ECB_03158/ECB_03172/ECB_03167/ECB_03170/ECB_03090/ECB_03091/ECB_03149/ECB_03051/ECB_03168/ECB_03860/ECB_00027/ECB_03169/ECB_03859/ECB_03159/ECB_00915/ECB_03032/ECB_03155/ECB_01685/ECB_02935/ECB_03145/ECB_03050/ECB_03160/ECB_02495/ECB_03166/ECB_04069/ECB_01085
Ara-1,ribo,ebr00240,Pyrimidine metabolism,51,0.7013477696549217,2.1890828168518164,6.070787093877158e-7,2.4080788805712727e-5,2.023595697959053e-5,655,"tags=41%, list=16%, signal=35%",ECB_04113/ECB_00036/ECB_04112/ECB_02390/ECB_00291/ECB_03499/ECB_00037/ECB_02410/ECB_00914/ECB_00949/ECB_02160/ECB_00169/ECB_01258/ECB_04085/ECB_04249/ECB_02640/ECB_03251/ECB_02625/ECB_04260/ECB_02089/ECB_02675
Ara-1,ribo,ebr02010,ABC transporters,183,-0.550622817792242,-1.7506091521048663,1.3801657388872836e-5,4.1059930731896687e-4,3.4504143472182097e-4,451,"tags=27%, list=11%, signal=25%",ECB_00150/ECB_02233/ECB_00557/ECB_00556/ECB_01267/ECB_00196/ECB_02232/ECB_03609/ECB_02127/ECB_00797/ECB_03612/ECB_01217/ECB_01867/ECB_00317/ECB_01454/ECB_04153/ECB_02231/ECB_02060/ECB_00555/ECB_03544/ECB_01220/ECB_02323/ECB_01307/ECB_03634/ECB_03635/ECB_03636/ECB_03637/ECB_00316/ECB_02828/ECB_00713/ECB_00796/ECB_02322/ECB_01221/ECB_00315/ECB_02126/ECB_03392/ECB_02827/ECB_03393/ECB_03394/ECB_01218/ECB_02324/ECB_02325/ECB_03391/ECB_01219/ECB_03395/ECB_03905/ECB_03904/ECB_03906/ECB_03907
Ara-1,ribo,ebr00630,Glyoxylate and dicarboxylate metabolism,42,0.6937472192993921,2.076083964139768,1.9937845072541576e-5,4.745207127264895e-4,3.9875690145083157e-4,466,"tags=33%, list=11%, signal=30%",ECB_02737/ECB_03755/ECB_02735/ECB_03941/ECB_02736/ECB_02692/ECB_03887/ECB_01370/ECB_03886/ECB_03778/ECB_00117/ECB_03777/ECB_02443/ECB_01253
Ara-1,ribo,ebr01200,Carbon metabolism,111,0.4915707874743481,1.7418472557595726,1.674769145160134e-4,0.002921355141421229,0.002454920286908596,937,"tags=40%, list=23%, signal=31%",ECB_00682/ECB_02737/ECB_02735/ECB_03941/ECB_02736/ECB_02642/ECB_00681/ECB_02692/ECB_04264/ECB_03887/ECB_00479/ECB_03886/ECB_01581/ECB_00683/ECB_03810/ECB_03778/ECB_00117/ECB_02354/ECB_00684/ECB_02083/ECB_03777/ECB_02443/ECB_03993/ECB_01253/ECB_02298/ECB_00309/ECB_02765/ECB_01784/ECB_03470/ECB_04024/ECB_03096/ECB_01825/ECB_04025/ECB_01823/ECB_03841/ECB_01437/ECB_03962/ECB_03897/ECB_02624/ECB_01134/ECB_02756/ECB_03737/ECB_03827/ECB_01349
Ara-1,ribo,ebr00340,Histidine metabolism,8,0.9066155659013861,1.8461658803873466,1.718444200836017e-4,0.002921355141421229,0.002454920286908596,302,"tags=75%, list=7%, signal=70%",ECB_01928/ECB_01927/ECB_01924/ECB_01926/ECB_01923/ECB_01925
Ara-1,ribo,ebr00541,O-Antigen nucleotide sugar biosynthesis,24,-0.798796721508505,-1.8610177649385553,2.0840349249542903e-4,0.0031000019508695066,0.002605043656192863,164,"tags=46%, list=4%, signal=44%",ECB_01932/ECB_01933/ECB_01941/ECB_01942/ECB_01944/ECB_01945/ECB_01946/ECB_01947/ECB_01948/ECB_01954/ECB_03614
Ara-1,ribo,ebr01240,Biosynthesis of cofactors,144,0.43892394902126286,1.6189362920412165,2.4722328845098134e-4,0.00326884125840742,0.002746925427233127,787,"tags=28%, list=19%, signal=24%",ECB_02468/ECB_00703/ECB_04113/ECB_00036/ECB_04112/ECB_03499/ECB_00052/ECB_00037/ECB_02410/ECB_00949/ECB_00479/ECB_00169/ECB_01606/ECB_01258/ECB_02610/ECB_02458/ECB_03491/ECB_02188/ECB_01782/ECB_02443/ECB_00141/ECB_03741/ECB_01129/ECB_01582/ECB_01655/ECB_02318/ECB_00371/ECB_02625/ECB_02543/ECB_00744/ECB_01836/ECB_01825/ECB_01586/ECB_03870/ECB_03815/ECB_01709/ECB_00749/ECB_00811/ECB_00425/ECB_01058/ECB_01608
Ara-1,ribo,ebr00500,Starch and sucrose metabolism,36,-0.6802387423362838,-1.7159669729481672,0.001111205647878208,0.013223347209750675,0.011112056478782082,295,"tags=19%, list=7%, signal=18%",ECB_03605/ECB_03521/ECB_01948/ECB_00351/ECB_03268/ECB_03423/ECB_03269
