direction,ontology,line,go.id,term,annotated,significant,expected,rank_in_ks,fisher,ks
up,BP,Ara-1,GO:0034660,ncRNA metabolic process,118,14,3.48,386,6.0e-06,0.2419
up,BP,Ara-1,GO:0034470,ncRNA processing,92,12,2.71,262,1.1e-05,0.1048
up,BP,Ara-1,GO:0009451,RNA modification,78,11,2.3,438,1.3e-05,0.2937
up,BP,Ara-1,GO:0000154,rRNA modification,30,7,0.88,1154,1.9e-05,0.9789
up,BP,Ara-1,GO:0006396,RNA processing,98,12,2.89,187,2.2e-05,0.0388
up,BP,Ara-1,GO:0006364,rRNA processing,42,8,1.24,789,2.3e-05,0.6865
up,BP,Ara-1,GO:0016072,rRNA metabolic process,43,8,1.27,861,2.7e-05,0.7488
up,BP,Ara-1,GO:0001510,RNA methylation,35,7,1.03,698,5.5e-05,0.5958
up,BP,Ara-1,GO:0022613,ribonucleoprotein complex biogenesis,91,11,2.68,9,5.6e-05,1.3e-06
up,BP,Ara-1,GO:0006399,tRNA metabolic process,79,10,2.33,465,8.5e-05,0.3291
up,BP,Ara-1,GO:0032259,methylation,41,7,1.21,799,0.00016,0.6909
up,BP,Ara-1,GO:0043414,macromolecule methylation,41,7,1.21,800,0.00016,0.6909
up,BP,Ara-1,GO:0043412,macromolecule modification,198,16,5.84,554,0.00016,0.4101
up,BP,Ara-1,GO:0008033,tRNA processing,55,8,1.62,320,0.00017,0.1617
up,BP,Ara-1,GO:0015755,fructose transmembrane transport,5,3,0.15,986,0.00025,0.8565
up,BP,Ara-1,GO:0032445,fructose import,5,3,0.15,987,0.00025,0.8565
up,BP,Ara-1,GO:0046323,glucose import,5,3,0.15,1151,0.00025,0.9759
up,BP,Ara-1,GO:0042254,ribosome biogenesis,90,10,2.65,7,0.00026,8.0e-07
up,BP,Ara-1,GO:0006807,nitrogen compound metabolic process,1177,50,34.71,292,0.00040,0.1395
up,BP,Ara-1,GO:0006400,tRNA modification,48,7,1.42,393,0.00044,0.2478
up,BP,Ara-1,GO:0006206,pyrimidine nucleobase metabolic process,23,5,0.68,1019,0.00046,0.8884
up,BP,Ara-1,GO:0030488,tRNA methylation,14,4,0.41,1081,0.00059,0.9295
