target_id,rel_name,k12_name,k12_accession_1,k12_accession_2,rel_product,k12_product,rel_pathways,k12_pathways,rel_reactions,k12_reactions,rel_url,k12_url
ECB_00763,cecR,cecR,b0796,ECK0785,DNA-binding transcriptional dual regulator CecR,DNA-binding transcriptional dual regulator CecR,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-961,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12406
ECB_01674,ydiE,ydiE,b1705,ECK1703,conserved protein,PF10636 family protein YdiE,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1874,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12391
ECB_03438,ECB_03438,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3673,NA
ECB_02639,queF,queF,b2794,ECK2789,7-cyano-7-deazaguanine reductase,7-cyano-7-deazaguanine reductase,queuosine biosynthesis,queuosine biosynthesis I (<i>de novo</i>),RXN0-4022,RXN0-4022,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2860,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7452
ECB_01624,grxD,grxD,b1654,ECK1650,"Grx4-IbaG complex"" // ""Grx4-BolA complex","Grx4-IbaG complex"" // ""Grx4-BolA complex"" // ""glutaredoxin 4",NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1822,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12181
ECB_03339,yhiKL,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3573,NA
ECB_03464,trmL,trmL,b3606,ECK3596,tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,NA,NA,RXN-11860 // RXN-11865 // RXN0-7168,RXN-11860 // RXN-11865 // RXN0-7168,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3699,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11888
ECB_01534,ECB_01534,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1732,NA
ECB_03245,hofO,hofO,b3393,ECK3380,DNA utilization protein HofO,DNA utilization protein HofO,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3479,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7737
ECB_01301,tpx,tpx,b1324,ECK1320,lipid hydroperoxide peroxidase,lipid hydroperoxide peroxidase,NA,NA,"1.11.1.15-RXN // RXN-19953 // RXN-19954 // ""peroxiredoxin""",1.11.1.15-RXN // RXN-19953 // RXN-19954 // RXN0-5468,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1501,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6660
ECB_00156,yadS,yadS,b0157,ECK0156,conserved inner membrane protein,PF03458 family protein YadS,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-334,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12333
ECB_03015,yraN,yraN,b3148,ECK3136,conserved protein,UPF0102 family protein YraN,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3241,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7643
ECB_03873,nudC,nudC,b3996,ECK3988,RNA decapping hydrolase,RNA decapping hydrolase,NA,NA,RXN0-4401 // RXN0-7346,RXN0-7346 // RXN0-4401,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4130,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11702
ECB_02918,yqiI,yqiI,b3048,ECK3037,putative fimbrial protein YqiI,putative fimbrial protein YqiI,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3143,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7587
ECB_02857,ECB_02857,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3082,NA
ECB_00272,yahB,yahB,b0316,ECK0314,"predicted DNA-binding transcriptional regulator, LysR-type",putative LysR-type DNA-binding transcriptional regulator YahB,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-458,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6181
ECB_02809,yeeW,yeeW,b2006,ECK1999,orf,CP4-44 prophage; putative uncharacterized protein YeeW,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3034,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7086
ECB_02769,yqgB,yqgB,b2939,ECK2934,orf,acid stress response protein YqgB,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2993,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7521
ECB_00269,betI,betI,b0313,ECK0311,DNA-binding transcriptional repressor BetI,BetI-choline,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-455,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10111
ECB_00733,ECB_00733,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-931,NA
ECB_02694,yqeH,yqeH,b2846,ECK2844,orf,putative LuxR family transcriptional regulator YqeH,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2917,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7466
ECB_00743,bioF,bioF,b0776,ECK0765,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,"biotin biosynthesis I"" // ""8-amino-7-oxononanoate biosynthesis I","biotin biosynthesis I"" // ""8-amino-7-oxononanoate biosynthesis I",7KAPSYN-RXN // RXN-11484,RXN-11484 // 7KAPSYN-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-941,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10121
ECB_00663,ECB_00663,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-854,NA
ECB_02589,ygbM,ygbM,b2739,ECK2734,conserved protein,putative 2-oxo-tetronate isomerase YgbM,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2811,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7420
ECB_02618,ygcW,ygcW,b2774,ECK2768,predicted deoxygluconate dehydrogenase,putative deoxygluconate dehydrogenase,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2840,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7440
ECB_01505,ECB_01505,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1703,NA
ECB_00569,ybdM,ybdM,b0601,ECK0595,conserved protein,ParB-like nuclease domain-containing protein YbdM,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-754,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6330
ECB_03047,dacB,dacB,b3182,ECK3171,peptidoglycan DD-endopeptidase DacB,peptidoglycan DD-endopeptidase DacB,NA,NA,RXN0-3461,RXN0-3461,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3275,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10202
ECB_02483,pgeF,pgeF,b2593,ECK2591,polyphenol oxidase YfiH,polyphenol oxidase YfiH,NA,NA,RXN-16312,RXN-16312,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2700,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12097
ECB_01418,ydcC,ydcC,b1460,ECK1454,orf,H repeat-associated putative transposase YdcC,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1618,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11526
ECB_00802,rimO,rimO,b0835,ECK0825,ribosomal protein S12 methylthiotransferase RimO,ribosomal protein S12 methylthiotransferase RimO,NA,NA,RXN0-6366 // RXN-14555 // RXN-14556,RXN0-6366,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1000,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6435
ECB_00513,ECB_00513,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-699,NA
ECB_02357,ypfG,ypfG,b2466,ECK2461,predicted protein,DUF1176 domain-containing protein YpfG,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2571,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7295
